id,city,DOB,address,longitude,sex,state,latitude,name,collection_id,email
10153,Bothell,1997-04-08T22:11:38Z,431 I STREET,-122,F,Washington,48,"SCHARBROUGH,GUNNAR S",V_Participant,
10154,Burton,1993-06-08T22:11:38Z,168 PALM AVE,-122,M,Washington,47,"DELGADILLO JR,,DALESHA W",V_Participant,
10155,Carnation,1993-03-08T22:11:38Z,1441 KAPIOLANI BLVD SUITE 907,-122,F,Washington,48,"BARRO,KIERSTYN ",V_Participant,
10156,Bellevue,1997-02-08T22:11:38Z,3691 UNION AVE,-122,M,Washington,48,"SCRIBNER JR,VIPHA ",V_Participant,
10158,Enumclaw,1997-12-08T22:11:38Z,112 CLEMFORD SQUARE,-122,M,Washington,47,"LONNBERG,HAREGU A",V_Participant,
10159,Federal Way,1995-03-08T22:11:38Z,3116 LAKE DR #6,-122,F,Washington,47,"DANHOF,PHOEBE C",V_Participant,
10160,Fall City,1993-10-08T22:11:38Z,3269 BERETANIA WAY,-122,M,Washington,48,"LUCAS II,QUASHAUNDA ",V_Participant,
10161,Hobart,1997-04-08T22:11:38Z,"1840 E RIVER ROAD, SUITE 210",-122,F,Washington,47,"PONSIANO,SERAPH S",V_Participant,
10162,Issaquah,1995-11-08T22:11:38Z,628 SAN JUAN DRIVE APT. C,-122,M,Washington,47,"IMAMOTO,DALYZHA M",V_Participant,
10164,Issaquah,1994-05-08T22:11:38Z,1311 63RD ST,-122,M,Washington,48,"HACKATHORN,TERRYL R",V_Participant,
10165,Kent,1996-04-08T22:11:38Z,PO BOX 4173 ,-122,F,Washington,47,"AMBINDER,JANEICE R",V_Participant,
10166,Kent,1998-11-08T22:11:38Z,FILE 73679 P O BOX 60000,-122,M,Washington,47,"R DELGADO,SEETAL P",V_Participant,
10167,Kent,1993-06-08T22:11:38Z,PO BOX 35428,-122,F,Washington,47,"NELLY-YAZZOLINO,SHIRLIE T",V_Participant,
10168,Kirkland,1995-05-08T22:11:38Z,3250 BEARD ROAD,-122,M,Washington,48,"DETRES,GELANE ",V_Participant,
10169,Kirkland,1994-09-08T22:11:38Z,8137 SONOMA HILLS WAY,-122,F,Washington,48,"TERCERO,SHUWEN D",V_Participant,
10170,Kent,1998-07-08T22:11:38Z,5000 MAIN STREET  318,-122,M,Washington,47,"TENOLD,LILYMER ",V_Participant,
10171,Maple Valley,1997-04-08T22:11:38Z,6395 FIREFLY DR,-122,F,Washington,47,"BORGESI,KIMSON M",V_Participant,
10172,Medina,1994-12-08T22:11:38Z,7506 ST PHILOME,-122,M,Washington,48,"JOVEL,YAMILE L",V_Participant,
10173,Mercer Island,1997-08-08T22:11:38Z,717 E 21ST ST #,-122,F,Washington,48,"MANGEL,OAI ",V_Participant,
10174,Bothell,1994-08-08T22:11:38Z,6602 N KATY LN,-122,M,Washington,48,"LUCIO JR,PHY A",V_Participant,
10175,Kent,1997-05-08T22:11:38Z,1138 S DANIEL WAY,-122,F,Washington,47,"PAASKESEN,ALYNNA M",V_Participant,
10177,Pacific,1998-04-08T22:11:38Z,169 CAPETOWN DR,-122,F,Washington,47,"SCHULDIES,CHASADY R",V_Participant,
10178,Preston,1999-03-08T22:11:38Z,965 E. YOSEMITE #18,-122,M,Washington,48,"HANGS,TREVELYANN ",V_Participant,
10180,Redmond,1996-10-08T22:11:38Z,2879 VALENCIA W,-122,M,Washington,48,"THURSBY,KAJA ",V_Participant,
10181,Redmond,1995-05-08T22:11:38Z,922 KRAMER ST,-122,F,Washington,48,"MC CAGG,SEKILATI L",V_Participant,
10182,Renton,1999-01-08T22:11:38Z,900 WELCH ROAD 300,-122,M,Washington,47,"PAIKAI,NAHALAH L",V_Participant,
10183,Renton,1997-04-08T22:11:38Z,204 E STREET,-122,F,Washington,48,"LOPEZ-ALGANDAR,RONASHA M",V_Participant,
10184,Renton,1996-03-08T22:11:38Z,393 ENGLERT COURT,-122,M,Washington,47,"GASCO,RAYNE K",V_Participant,
10185,Renton,1996-05-08T22:11:38Z,7420 GRANITE AVE,-122,F,Washington,47,"PIROUTEK,XUE YU M",V_Participant,
10187,Seahurst,1996-10-08T22:11:38Z,18400 MILMAR BLVD,-122,F,Washington,47,"KEHLHOFF,KRISLYNNE S",V_Participant,
10188,Federal Way,1999-09-08T22:11:38Z,670 METROPOLITAN PARKWAY,-122,M,Washington,47,"NICKENS,NAIMAH F",V_Participant,
10189,Kent,1994-05-08T22:11:38Z,14510 W SHUMWAY #101,-122,F,Washington,47,"DE SHIELDS,DELAYNII I",V_Participant,
10190,Snoqualmie,1997-06-08T22:11:38Z,2580 PACIFIC ST,-122,M,Washington,48,"PENSABENE,SHANTAE B",V_Participant,
10191,Snoqualmie Pass,1999-08-08T22:11:38Z,7519 WESTGATE DR,-121,F,Washington,47,"ESCAHEDO,DOSSY R",V_Participant,
10194,Woodinville,1998-10-08T22:11:38Z,"77846 SCHUBERT WAY, #A",-122,M,Washington,48,"ALVAREZ ,GUIPING L",V_Participant,
10196,Sammamish,1994-11-08T22:11:38Z,2666 MERGANSER CT,-122,M,Washington,48,"VON BERNATH,PHIMPHONE A",V_Participant,
10197,Sammamish,1995-02-08T22:11:38Z,27100 ELENA RD,-122,F,Washington,48,"NGUYEN ,AMANDY M",V_Participant,
10199,Kent,1996-04-08T22:11:38Z,66 DUBLIN DRIVE,-122,F,Washington,47,"YOST, JOHN D.,SHAQUILA L",V_Participant,
10100,Wilson,1997-06-08T22:11:38Z,60 W 5TH ST APT 2,-111,M,Wyoming,43,"VERNOY,LAISCHA M",V_Participant,
10101,Teton Village,1995-03-08T22:11:38Z,11445 VIA VISTA ST,-111,F,Wyoming,44,"PIPER,SCHARENA ",V_Participant,
10102,Alta,1993-10-08T22:11:38Z,1574 COUNTY ROAD 207,-111,M,Wyoming,44,"SIGNES,BABA K",V_Participant,
10104,Evanston,1999-10-08T22:11:38Z,2601 NUT TREE ROAD A,-111,M,Wyoming,41,"MORGER,JOYLIEN L",V_Participant,
10105,Fort Bridger,1998-01-08T22:11:38Z,13909 147 PL SE,-110,F,Wyoming,41,"NIGHSWONGER,SHAWNIE E",V_Participant,
10107,Lyman,1994-06-08T22:11:38Z,85-1200 KUMAIPO ST,-110,F,Wyoming,41,"HOEHENRIEDER,LI ANN ",V_Participant,
10108,Mountain View,1993-08-08T22:11:38Z,15791 BEARVALLEY RD,-110,M,Wyoming,41,"BARRANGO,AZNIV ",V_Participant,
10109,Robertson,1995-12-08T22:11:38Z,"1750 FIRST ST APT #222,HILL RD",-111,F,Wyoming,41,"VEMURI,JAIMILYN ",V_Participant,
10111,Ten Sleep,1995-03-08T22:11:38Z,507 TAMALPAIS DR,-107,F,Wyoming,44,"BAVUSO,MISTY-WILLOW ",V_Participant,
10112,Newcastle,1996-12-08T22:11:38Z,114 SOTOYONE STREET,-104,M,Wyoming,44,"RUFFALO,DEAFONE W",V_Participant,
10117,Cold Bay,1997-06-08T22:11:38Z,510 COULSTON CT,-163,F,Alaska,55,"WALDRUM,JANALISA ",V_Participant,
10119,King Cove,1999-07-08T22:11:38Z,485 SOUTH DRIVE #A,-162,F,Alaska,55,"BROWNLEE-TATE,PO NGAN P",V_Participant,
10120,Sand Point,1992-12-08T22:11:38Z,33834 WASHINGTON AVE,-160,M,Alaska,55,"BABBIT,RANEA ",V_Participant,davidworsham2005@yahoo.com
10121,Adak,1997-01-08T22:11:38Z,1200 ROSECRANS AVE #110,-177,F,Alaska,52,"TAKENAMI,MARIETTE D",V_Participant,
10123,Saint George Island,1999-02-08T22:11:38Z,"50 S MEDICAL DR, STE 1",-170,F,Alaska,57,"CAMPANERO,KARRA A",V_Participant,
10124,Nikolski,1995-06-08T22:11:38Z,12210 59TH AVE,-169,M,Alaska,53,"KAANAPN,MODUPE M",V_Participant,
101400,Casper,1990-12-08T22:11:38Z,19102 BARRON RANCH RD SPC 2,-106,M,Wyoming,43,"TIMON LYDON,TIMOTHEA L",V_Participant,
101401,Alcova,1991-02-08T22:11:38Z,1306 ALA PUAALA,-107,F,Wyoming,43,"TAJAN,JUSTIN HUNG ",V_Participant,
101403,Edgerton,1990-05-08T22:11:38Z,24 SCENIC WAY,-106,F,Wyoming,43,"SIKL,CHARITY-ROSE A",V_Participant,
101404,Evansville,1991-08-08T22:11:38Z,"909 HYDE STREET, SUITE",-106,M,Wyoming,43,"DALMACIO,MAXIMENO R",V_Participant,
101406,Midwest,1989-12-08T22:11:38Z,27830 SE STARR RD,-106,M,Wyoming,43,"TARRO,JENNIFER ASHLEY G",V_Participant,
101407,Mills,1989-02-08T22:11:38Z,16374 S FOWLER AVENUE,-106,F,Wyoming,43,"HOLLADAY-LLOYD,WENCESIAO ",V_Participant,
101410,Lance Creek,1990-05-08T22:11:38Z,2547 35TH ST,-105,M,Wyoming,43,"DEVOOGHT,ORA W",V_Participant,
101412,Manville,1990-07-08T22:11:38Z,930 CARMELITA DRIVE,-105,M,Wyoming,43,"MAR, II,SYLVIA ",V_Participant,
101413,Van Tassell,1991-10-08T22:11:38Z,5210 FREEDOM BLVD,-104,F,Wyoming,43,"BECKER,DAJANIQUE J",V_Participant,
101416,Frannie,1989-10-08T22:11:38Z,1300 BROAD STREET,-109,M,Wyoming,45,"AXT,DAMAREI L",V_Participant,
101417,Meeteetse,1989-03-08T22:11:38Z,"13321 GARDEN GROVE BL,SAN FRANCISCO CALIF",-109,F,Wyoming,44,"SARICH,VIVIANI V",V_Participant,
101418,Powell,1990-04-08T22:11:38Z,50 WEDDINGTON BRANCH ROAD,-109,M,Wyoming,45,"QANAI,KEGAN ",V_Participant,
101420,Wapiti,1991-11-08T22:11:38Z,40539 ALBRAE ST #B,-109,M,Wyoming,44,"BHUKHAN,WILD ",V_Participant,
101421,Wheatland,1990-09-08T22:11:38Z,P O BOX 8505,-105,F,Wyoming,42,"DEML,SULAKHAN R",V_Participant,
101423,Glendo,1990-05-08T22:11:38Z,8344 LONGTREE WAY,-105,F,Wyoming,43,"FOMBY,YANCI B",V_Participant,
101424,Guernsey,1990-07-08T22:11:38Z,3613 COPPERFIELD DR APT 239,-105,M,Wyoming,42,"LEIER,DONAVON ",V_Participant,DMARTIN316@SBCGLOBAL.NET
101425,Hartville,1989-08-08T22:11:38Z,9141 SPIRIT 1505 CRESTVIEW DR,-105,F,Wyoming,42,"WIMBERLY,TIVON L",V_Participant,antonsrfreedom@aol.com
101427,Arvada,1990-02-08T22:11:38Z,970 CORTE MADER,-106,F,Wyoming,45,"GATAVECKAS,KATHERINA M",V_Participant,
101428,Banner,1990-06-08T22:11:38Z,1959 MANHATTAN AVE  APT  15,-107,M,Wyoming,45,"CORTEZ-BECCUE,HARDIEL E",V_Participant,
101430,Clearmont,1990-06-08T22:11:38Z,"3468 MT DIABLO BL B 301,#23",-106,M,Wyoming,45,"PALLIOS,RUTVIJ T",V_Participant,
101433,Parkman,1991-06-08T22:11:38Z,1904 E RICHERT AVE,-107,F,Wyoming,45,"AMANZE,TO ",V_Participant,dontetodd@comcast.net
101434,Ranchester,1990-10-08T22:11:38Z,4239 ESCONDIDO DR.,-107,M,Wyoming,45,"MULLAH,JINLUM J",V_Participant,
101436,Wolf,1991-06-08T22:11:38Z,4341 FERDINANDA PL,-107,M,Wyoming,45,"HANRIHAN,VONGVARET ",V_Participant,
101437,Wyarno,1991-10-08T22:11:38Z,3550 WIND CAVE CT,-107,F,Wyoming,45,"LIPNOSKY,ADJON L",V_Participant,
101438,Bondurant,1989-04-08T22:11:38Z,1195 SAN MORITZ DR,-110,M,Wyoming,43,"SCHABINGER,RICHWOOD P",V_Participant,
101439,Boulder,1991-05-08T22:11:38Z,3609 WEST BENJAMIN HOLT DR APT 115,-110,F,Wyoming,43,"BECHTIGER,CHYLENE J",V_Participant,
101440,Cora,1990-01-08T22:11:38Z,90 HENNEPIN AVENUE,-110,M,Wyoming,43,"MAYEN,GUANWEI TWYRLS",V_Participant,
101441,Pinedale,1989-09-08T22:11:38Z,635 ANDERSON RD STE 10,-110,F,Wyoming,43,"WETTSTEIN,TILISHA R",V_Participant,
101443,Daniel,1989-01-08T22:11:38Z,419 GREENDALE WY #4,-110,F,Wyoming,43,"REZAYE,JASPHER W",V_Participant,
101444,Bairoil,1991-02-08T22:11:38Z,5330 CASE AVENUE #421,-108,M,Wyoming,42,"PULES JR.,TRAWYCK VAN",V_Participant,
101445,Wamsutter,1989-03-08T22:11:38Z,775 PANORAMA DR,-108,F,Wyoming,42,"WHITWELL,LI-CHENG J",V_Participant,
101446,Rock Springs,1989-04-08T22:11:38Z,11180 WARNER AVE #263,-109,M,Wyoming,42,"TUNG,BIENVENIDO ",V_Participant,
101448,Little America,1990-01-08T22:11:38Z,631 SAN ANDREAS COURT,-110,M,Wyoming,42,"MCKINLAY,KAHLEA CHEE",V_Participant,
101449,Farson,1991-03-08T22:11:38Z,126 GREENFIELD AVE,-109,F,Wyoming,42,"BABROS,NICANOR L",V_Participant,
101450,Granger,1991-01-08T22:11:38Z,1316 WINDERMERE AVE,-110,M,Wyoming,42,"STEDCKE,ANGILENE ",V_Participant,
101451,Green River,1991-08-08T22:11:38Z,2700 GRANT STREET #309,-109,F,Wyoming,42,"MC TIER,ATORYANA P",V_Participant,
101452,Mc Kinnon,1991-04-08T22:11:38Z,12120 MINES RD,-110,M,Wyoming,41,"WARNER-DELOATCH,ANEKA ",V_Participant,
101453,Point Of Rocks,1990-05-08T22:11:38Z,734 LIVERPOOL WAY,-109,F,Wyoming,42,"ROSE-HOOK,SWE ",V_Participant,
101455,Superior,1989-02-08T22:11:38Z,1274 SAN JUAN AVE,-109,F,Wyoming,42,"ZUMPANO,WERNER ",V_Participant,
101458,Kelly,1989-03-08T22:11:38Z,1240 CRESPI DR,-111,M,Wyoming,44,"WIGGINS,KRIZMA ",V_Participant,
101461,Wilson,1990-09-08T22:11:38Z,2061 CLARMAR WAY STE A ,-111,F,Wyoming,43,"OVERHOLSER,TRAVLER B",V_Participant,
101462,Teton Village,1989-11-08T22:11:38Z,98 MONTGOMERY DR.,-111,M,Wyoming,44,"KIANY,SELEN ",V_Participant,
101464,Evanston,1990-01-08T22:11:38Z,1742 94TH AVE AVENUE,-111,M,Wyoming,41,"ESTUS,TEODULO E",V_Participant,
101465,Evanston,1989-02-08T22:11:38Z,"121 SHELLIE CT,PO BOX 2443",-111,F,Wyoming,41,"ALLEN TANYA K.,ADLINE ",V_Participant,
101466,Fort Bridger,1990-09-08T22:11:38Z,"16230 MONTEREY ST #100,PO BOX 2443",-110,M,Wyoming,41,"REASON,ZHANPENG S",V_Participant,
101467,Lonetree,1990-08-08T22:11:38Z,"4869 VENNER ROAD,PO BOX 2443",-110,F,Wyoming,41,"RADEY,GORJE ",V_Participant,
101470,Robertson,1990-03-08T22:11:38Z,P.O. BOX 2603,-111,M,Wyoming,41,"LAURITO,DIANALIN F",V_Participant,
101472,Ten Sleep,1991-05-08T22:11:38Z,361 MCCARTHY ST,-107,M,Wyoming,44,"BROWN JR,TARN ",V_Participant,
101473,Newcastle,1991-05-08T22:11:38Z,5373 MALLARD DR,-104,F,Wyoming,44,"HERRNSTADT,DOUDI L",V_Participant,
101476,Upton,1989-04-08T22:11:38Z,C/O KAREN PETERSON,-105,M,Wyoming,44,"DINEHART,WALDEMARO B",V_Participant,
101477,Akutan,1990-08-08T22:11:38Z,2807 S STATE ST,-166,F,Alaska,54,"BUNAC,NAKESHA S",V_Participant,
101479,False Pass,1990-02-08T22:11:38Z,4548 HAMILTON AVE # 4,-163,F,Alaska,55,"BIRTCIL,ANSELMO T",V_Participant,
101480,King Cove,1989-06-08T22:11:38Z,1125 W 6TH ST #302,-162,M,Alaska,55,"MILNER,CLIFFORD SR ",V_Participant,
101481,Sand Point,1989-06-08T22:11:38Z,1000 MARKET STREET,-160,F,Alaska,55,"MABON,RUFIE L",V_Participant,
101482,Adak,1991-05-08T22:11:38Z,45 079 F WAKALUA RD,-177,M,Alaska,52,"RINKEL JR,GIOIA ",V_Participant,
101483,Atka,1991-11-08T22:11:38Z,1560 W 23RD ST,-174,F,Alaska,52,"UPDEGRAFF,MALOTUTOATA ",V_Participant,
101486,Saint Paul Island,1989-08-08T22:11:38Z, P O BOX  506,-170,M,Alaska,57,"MORALES-SIERRA,JALIAH D",V_Participant,
101487,Unalaska,1990-11-08T22:11:38Z,PO BOX 6787,-167,F,Alaska,54,"DRAGOTTA,NOU E",V_Participant,
101488,Dutch Harbor,1990-05-08T22:11:38Z,8283 GROVE AVE #102,-167,M,Alaska,54,"VUYOVICH,QIAN WEN ELIZABETH",V_Participant,
101489,Anchorage,1990-11-08T22:11:38Z,1395 WEST BAY DRIVE,-150,F,Alaska,61,"GULBRANSEN,DOUIEB N",V_Participant,
101490,Anchorage,1991-07-08T22:11:38Z,2848 PARK AVE SUITE A,-150,M,Alaska,61,"POLLOCK,SHUKUR ",V_Participant,
101491,Anchorage,1991-07-08T22:11:38Z,"2200 PROFRSSIONAL DRIVE, SUITE 190",-150,F,Alaska,61,"MARTICORENA,JOREN L",V_Participant,
101492,Anchorage,1991-08-08T22:11:38Z,2951 Countryside Dr,-150,M,Alaska,61,"LEHN,IMMANUEL E",V_Participant,
101493,Jber,1991-08-08T22:11:38Z,1732 GALLERIA OAKS DR,-159,F,Alaska,60,"FETTERLY,SIUSHAN G",V_Participant,
101495,Anchorage,1990-08-08T22:11:38Z,466 COUNTRY CLU,-150,F,Alaska,61,"KOETKE,MONAI J",V_Participant,
101497,Anchorage,1989-06-08T22:11:38Z,3248 JUNIPER AVE,-150,F,Alaska,61,"TUPUIVAO,JUSTIN HUNG ",V_Participant,
101499,Anchorage,1991-08-08T22:11:38Z,400 SOLANO PARK CIR,-150,F,Alaska,61,"PEDROSO,KELI E",V_Participant,
101501,Anchorage,1989-04-08T22:11:38Z,8780 ORMART ROAD,-150,F,Alaska,61,"HUDSPETH,RUSTY V",V_Participant,
101502,Anchorage,1989-11-08T22:11:38Z,7754 S NIAGARA WAY,-150,M,Alaska,61,"NIOSCO II,OMAJEL J",V_Participant,
101503,Anchorage,1990-10-08T22:11:38Z,2410 PALERMO RD,-150,F,Alaska,61,"MIYAJI,ASHISH C",V_Participant,
101506,Anchorage,1990-02-08T22:11:38Z,19675 CLOVER ROAD,-149,M,Alaska,61,"RODAS JR,AZUL C",V_Participant,
101509,Anchorage,1989-05-08T22:11:38Z,1310 BRECKENRID,-150,F,Alaska,61,"MORGAN JR,CZAR W",V_Participant,
101510,Anchorage,1991-08-08T22:11:38Z,7640 SOUTHCLIFF DR,-150,M,Alaska,61,"MORAIN,PARA R",V_Participant,
101511,Anchorage,1989-05-08T22:11:38Z,P.O. BOX 2500,-150,F,Alaska,61,"SOLARO,DELMY H",V_Participant,
101512,Anchorage,1990-07-08T22:11:38Z,2015 P STREET #10,-150,M,Alaska,61,"USE,JANAJUNELL L",V_Participant,
101513,Anchorage,1989-02-08T22:11:38Z,7009 3RD PARKWA,-150,F,Alaska,61,"MAQUEDA,ALWIDA D",V_Participant,
101515,Chugiak,1989-09-08T22:11:38Z,3711 ROSAFEE CT,-149,F,Alaska,61,"BORAAS,SEPPEH A",V_Participant,
101516,Eagle River,1989-07-08T22:11:38Z,2019 45TH AVE,-150,M,Alaska,61,"RICE, JOSHUA R,NELLE L",V_Participant,
101517,Girdwood,1990-10-08T22:11:38Z,17 MANZANO CIRC,-149,F,Alaska,61,"GLAUM,TREVONTE L",V_Participant,
101518,Anchorage,1991-06-08T22:11:38Z,3119 NAOMI CT,-150,M,Alaska,61,"ZOERB,DOTIANA A",V_Participant,
101520,Kongiganak,1988-12-08T22:11:38Z,2140 S SHORE CENTER,-163,M,Alaska,60,"SCHNITTYER,JOGA J",V_Participant,
101521,Akiachak,1990-05-08T22:11:38Z,2510 ENCINA AVE,-161,F,Alaska,61,"PORGIE,JIA HUI A",V_Participant,
101522,Akiak,1989-07-08T22:11:38Z,C/O CAROLE STRATEMAN,-161,M,Alaska,61,"TOUPS,SCOTT JR J",V_Participant,
101523,Aniak,1989-08-08T22:11:38Z,6018 SALIDA DEL SOL,-160,F,Alaska,62,"MALASA,JIA YI S",V_Participant,
101524,Bethel,1990-11-08T22:11:38Z,305 HOLLYRIDGE,-162,M,Alaska,61,"LIBEY,PATI I",V_Participant,
101525,Chefornak,1991-04-08T22:11:38Z,mreyes 5-31-06,-164,F,Alaska,60,"LODIGIANI,AVAL ",V_Participant,
101527,Eek,1990-05-08T22:11:38Z,4000 CIVIC CENTER DR.  #210A,-162,F,Alaska,60,"CAMBOU,ZARABETH A",V_Participant,
101528,Goodnews Bay,1989-04-08T22:11:38Z,785 RESEDA DR APT 10,-162,M,Alaska,59,"SAYCOCIE,ELEXYS L",V_Participant,
101529,Kalskag,1989-08-08T22:11:38Z,6422 SAN STEFANO ST,-160,F,Alaska,62,"RAMIREZ-DUNLAP,SHAWANNA ",V_Participant,
101530,Kasigluk,1990-02-08T22:11:38Z,P.O. BOX 1780,-163,M,Alaska,61,"BORTLAZZO,APHRIL KAY R",V_Participant,
101531,Kipnuk,1990-11-08T22:11:38Z,1560 SACRAMENTO 210,-164,F,Alaska,60,"ISANEJAD,JUILO S",V_Participant,
101533,Kwigillingok,1990-06-08T22:11:38Z,550 WATER STREET BLDG. J-1,-163,F,Alaska,60,"CLABUESCH JR,NAILAH ",V_Participant,
101534,Lower Kalskag,1991-04-08T22:11:38Z,625 KENNEDY CRT APT D,-160,M,Alaska,62,"DISIBIO,SPOHEA B",V_Participant,
101536,Napakiak,1991-02-08T22:11:38Z,410 GEORGIA ST,-162,M,Alaska,61,"VANDERMEULEN,ANATOLE N",V_Participant,
101537,Toksook Bay,1990-02-08T22:11:38Z,1501 ALAMEDA EXPY  APT 2218,-165,F,Alaska,61,"WIGGINGTON,STROY L",V_Participant,
101538,Nunapitchuk,1990-01-08T22:11:38Z,P O BOX 20490,-162,M,Alaska,61,"TAFITI,DENISSE L",V_Participant,
101539,Platinum,1991-07-08T22:11:38Z,884 THIRD ST #A,-162,F,Alaska,59,"EMPIE,CHORALIE E",V_Participant,
101540,Quinhagak,1990-07-08T22:11:38Z,1115 TURTLE ROC,-162,M,Alaska,60,"HUO,JOHNNIE RAE N",V_Participant,
101541,Red Devil,1989-01-08T22:11:38Z,3031 WEST MARCH LN #310,-157,F,Alaska,62,"LUKINS,IBRAHEM S",V_Participant,
101543,Tuluksak,1989-04-08T22:11:38Z,263 E 6TH STREE,-161,F,Alaska,61,"BURNLEY,RUDELL ",V_Participant,
101544,Tuntutuliak,1991-08-08T22:11:38Z,625 SUMMER ST,-163,M,Alaska,60,"BIENKOWSKI,JENENNE S",V_Participant,
101546,Nightmute,1990-01-08T22:11:38Z,85 MCMINN RD,-165,M,Alaska,60,"FUENTES MARTINE,CIROCCO L",V_Participant,
101547,King Salmon,1990-07-08T22:11:38Z,1471 SAN MARCOS,-157,F,Alaska,59,"BALLESTRAZZE,BUNDARIN E",V_Participant,
101548,Naknek,1991-09-08T22:11:38Z,4890 7TH AVENUE,-157,M,Alaska,59,"HOUGHTON,LAURI ",V_Participant,
101550,Clear,1989-03-08T22:11:38Z,4440 OLD REDWOOD HWY #14,-149,M,Alaska,64,"HERNACKI,XAVIAN R",V_Participant,
101552,Healy,1989-11-08T22:11:38Z,C/O VIOLA HALL ,-149,M,Alaska,64,"HUNCKLER,KENNISHA A",V_Participant,
101553,Anderson,1990-01-08T22:11:38Z,1824 SKYLANE WA,-149,F,Alaska,64,"MARICLE, SARA,MANEKA R",V_Participant,
101554,Denali National Park,1989-03-08T22:11:38Z,204 STERLING AVE,-150,M,Alaska,64,"ECKFORD,NYAMU P",V_Participant,
101556,Clarks Point,1989-08-08T22:11:38Z,2918 VILLA,-159,M,Alaska,59,"FUHRIMAN,BERKELEY ",V_Participant,
101557,Dillingham,1991-08-08T22:11:38Z,597 KAIMANA ST B,-159,F,Alaska,59,"SHEYNKMAN,EVANGELIA ",V_Participant,
101558,Ekwok,1990-04-08T22:11:38Z,2525 DESRYS BLVD.,-157,M,Alaska,59,"RHULE,KENDRICK L",V_Participant,
101559,Manokotak,1989-11-08T22:11:38Z,1289 BALBOA CT APT#141,-159,F,Alaska,59,"TORO-LIRA,HIILANI ",V_Participant,
101561,Togiak,1988-12-08T22:11:38Z,3 TYLER ST,-160,F,Alaska,59,"FERRIERI,ABHINAY ",V_Participant,
101563,Eielson Afb,1990-06-08T22:11:38Z,3128 BACO DRIVE,-147,F,Alaska,65,"CHIAPERO,SANJIV ",V_Participant,
